x1,x2,predict_y
50.0,100.0,-2.524681886315308
50.0,350.0,-1.520980946062653
50.0,100.0,-2.524681886315308
50.0,675.0,-0.4670316315499189
50.0,325.0,-1.6136677954132355
50.0,100.0,-2.524681886315308
50.0,100.0,-2.524681886315308
50.0,100.0,-2.524681886315308
50.0,200.0,-2.102762313655123
50.0,275.0,-1.8041800212397867
50.0,100.0,-2.524681886315308
50.0,100.0,-2.524681886315308
50.0,225.0,-2.001530549252371
50.0,425.0,-1.2531559395621947
58.0,245.0,-1.1127456135600762
50.0,500.0,-1.000472941752816
50.0,100.0,-2.524681886315308
75.0,175.0,0.19234827425465367
50.0,375.0,-1.4300047932601672
50.0,100.0,-2.524681886315308
